,Unnamed: 0,Titre,Artiste,Peak,Peak date,Weeks intop ten,Sentiment Titre,Sentiment Artiste
9,18,sad,xxxtentacion,1.0,June 30,6,0.12014285714285715,0.03283333333333333
10,20,call-out-my-name,the-weeknd,4.0,April 14,1,0.05125,0.0355
11,22,nice-for-what,drake,1.0,April 21,17,0.213,0.05500000000000001
19,30,better-now,post-malone,3.0,October 6,18,0.15542857142857144,0.0066
20,31,this-is-america,childish-gambino,1.0,May 19,5,0.060571428571428575,0.0671
23,34,fake-love,bts,10.0,June 2,1,0.107,0.017599999999999998
27,39,in-my-feelings,drake,1.0,July 21,14,0.1105,0.05500000000000001
36,53,killshot,eminem,3.0,September 29,2,0.213,0.09059999999999999
43,65,without-me,halsey,4.0,November 24,4,0.128875,0.03944444444444444
45,67,thank-u-next,ariana-grande,1.0,November 17,3,0.22614285714285715,0.0241
46,68,high-hopes,panic-at-the-disco,6.0,December 1,2,0.09559999999999999,0.05970000000000001
47,10,say-something,justin-timberlake,9.0,February 10,1,0.08183333333333333,0.0060999999999999995
50,16,psycho,post-malone,1.0,June 16,21,0.07966666666666666,0.0066
58,50,lucky-you,eminem,6.0,September 15,1,0.24899999999999997,0.09059999999999999
