Artiste,Annee,Titre
adele,2011,2
adele,2012,4
adele,2015,1
adele,2016,3
adele,2017,1
beyonce,2010,1
beyonce,2011,1
beyonce,2014,1
beyonce,2015,1
beyonce,2016,1
britney-spears,2010,1
britney-spears,2011,3
bruno-mars,2010,1
bruno-mars,2011,3
bruno-mars,2012,1
bruno-mars,2013,3
bruno-mars,2017,2
chris-brown,2011,2
chris-brown,2012,2
chris-brown,2016,1
coldplay,2012,1
coldplay,2014,1
coldplay,2016,2
demi-lovato,2012,1
demi-lovato,2013,1
demi-lovato,2015,1
demi-lovato,2017,1
drake,2010,2
drake,2011,1
drake,2013,1
drake,2014,1
drake,2015,2
drake,2016,2
drake,2017,2
ed-sheeran,2013,1
ed-sheeran,2014,2
ed-sheeran,2015,3
ed-sheeran,2017,2
ellie-goulding,2012,1
ellie-goulding,2014,1
ellie-goulding,2015,1
ellie-goulding,2016,1
flo-rida,2012,2
flo-rida,2013,1
flo-rida,2016,1
imagine-dragons,2012,1
imagine-dragons,2013,3
imagine-dragons,2014,2
imagine-dragons,2017,2
jason-aldean,2011,1
jason-aldean,2012,2
jason-aldean,2014,1
jason-derulo,2010,3
jason-derulo,2011,1
jason-derulo,2013,1
jason-derulo,2014,1
jason-derulo,2015,1
justin-bieber,2012,1
justin-bieber,2015,1
justin-bieber,2016,3
justin-timberlake,2013,1
justin-timberlake,2014,1
justin-timberlake,2016,1
justin-timberlake,2017,1
katy-perry,2010,1
katy-perry,2011,3
katy-perry,2012,3
katy-perry,2013,1
katy-perry,2014,2
kelly-clarkson,2010,1
kelly-clarkson,2012,1
kelly-clarkson,2013,1
kelly-clarkson,2015,1
kesha,2010,3
kesha,2011,2
kesha,2012,1
kesha,2013,1
kesha,2017,1
lady-antebellum,2010,2
lady-antebellum,2011,1
lady-antebellum,2013,1
lady-antebellum,2014,1
lady-gaga,2010,3
lady-gaga,2011,3
lady-gaga,2013,1
luke-bryan,2011,1
luke-bryan,2012,2
luke-bryan,2013,2
luke-bryan,2014,1
luke-bryan,2015,1
maroon-5,2010,1
maroon-5,2012,1
maroon-5,2013,3
maroon-5,2014,2
maroon-5,2015,2
meghan-trainor,2014,1
meghan-trainor,2015,3
meghan-trainor,2016,2
miley-cyrus,2010,1
miley-cyrus,2013,2
miley-cyrus,2014,2
miley-cyrus,2017,1
nicki-minaj,2010,1
nicki-minaj,2011,1
nicki-minaj,2012,2
nicki-minaj,2014,1
one-direction,2012,1
one-direction,2013,1
one-direction,2014,1
one-direction,2015,2
one-direction,2016,1
onerepublic,2010,2
onerepublic,2011,1
onerepublic,2013,1
onerepublic,2014,2
pink,2011,2
pink,2012,1
pink,2013,1
pink,2016,1
pink,2017,1
rihanna,2010,2
rihanna,2011,3
rihanna,2012,3
rihanna,2013,2
rihanna,2015,1
rihanna,2016,1
rihanna,2017,1
sam-hunt,2014,1
sam-hunt,2015,2
sam-hunt,2017,1
sam-smith,2014,1
sam-smith,2015,3
sam-smith,2017,1
selena-gomez,2013,1
selena-gomez,2015,1
selena-gomez,2016,2
shawn-mendes,2015,1
shawn-mendes,2016,2
shawn-mendes,2017,3
taylor-swift,2010,3
taylor-swift,2011,1
taylor-swift,2012,1
taylor-swift,2013,2
taylor-swift,2014,1
taylor-swift,2015,4
taylor-swift,2016,1
taylor-swift,2017,1
the-black-eyed-peas,2010,4
the-black-eyed-peas,2011,2
the-weeknd,2015,3
the-weeknd,2016,3
twenty-one-pilots,2016,3
twenty-one-pilots,2017,1
usher,2010,1
usher,2011,1
usher,2012,2
