Name,titre,Listeners,,
Ariana Grande,"Thank U, Next",112661,,
Queen,Bohemian Rhapsody - Remastered 2011,249059,,
Travi$ Scott,SICKO MODE,113733,,
Ariana Grande,No Tears Left To Cry,183273,,
Ariana Grande,God is a Woman,139416,,
Imagine Dragons,Natural,107419,,
Ariana Grande,breathin,109810,,
Halsey,Without Me,72302,,
Imagine Dragons,Bad Liar,48967,,
Queen,Don't Stop Me Now - Remastered,119297,,
Billie Eilish,when the party's over,61534,,
Queen,Under Pressure - Remastered,65882,,
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",73621,,
Marshmello,Happier,87151,,
The Killers,Mr. Brightside,1949726,,
Arctic Monkeys,Do I Wanna Know?,872223,,
Queen,Another One Bites The Dust - Remastered 2011,174376,,
Little Mix,Woman Like Me (feat. Nicki Minaj),55986,,
Tame Impala,The Less I Know the Better,387221,,
Imagine Dragons,Machine,41628,,
Muse,Propaganda,40531,,
Dua Lipa,Kiss and Make Up,55400,,
Queen,Bohemian Rhapsody,1346380,,
Lady Gaga,Shallow,71622,,
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,54262,,
Toto,Africa,890960,,
Rita Ora,Let You Love Me,60052,,
Muse,Pressure,56635,,
Sheck Wes,Mo Bamba,62237,,
Anderson .Paak,Tints (feat. Kendrick Lamar),56239,,
Nirvana,Smells Like Teen Spirit,2036044,,
Post Malone,Better Now,148309,,
The White Stripes,Seven Nation Army,1484755,,
Muse,Algorithm,36402,,
Muse,The Dark Side,55385,,
Mariah Carey,All I Want for Christmas Is You,666240,,
Dua Lipa,New Rules,273055,,
Radiohead,Creep,1611546,,
Carly Rae Jepsen,Party for One,35069,,
Kodak Black,ZEZE (feat. Travis Scott & Offset),49157,,
Kendrick Lamar,HUMBLE.,332679,,
Khalid,Better,68102,,
Portugal. The Man,Feel It Still,285262,,
Panic! at the Disco,High Hopes,95943,,
Drake,In My Feelings,151823,,
Franz Ferdinand,Take Me Out,1650489,,
a-ha,Take on Me,1121381,,
Clean Bandit,Baby (feat. Marina and The Diamonds & Luis Fonsi),32671,,
Bad Bunny,MIA (feat. Drake),51746,,
xxxtentacion,Arms Around You (feat. Maluma & Swae Lee),38760,,
