,Artiste,Titre,Listeners,Unnamed: 3,Unnamed: 4
0,ariana-grande,thank-u-next,112661,,
1,queen,bohemian-rhapsody-remastered-2011,249059,,
2,travi-scott,sicko-mode,113733,,
3,ariana-grande,no-tears-left-to-cry,183273,,
4,ariana-grande,god-is-a-woman,139416,,
5,imagine-dragons,natural,107419,,
6,ariana-grande,breathin,109810,,
7,halsey,without-me,72302,,
8,imagine-dragons,bad-liar,48967,,
9,queen,dont-stop-me-now-remastered,119297,,
10,billie-eilish,when-the-partys-over,61534,,
11,queen,under-pressure-remastered,65882,,
12,dj-snake,taki-taki-with-selena-gomez-ozuna-cardi-b,73621,,
13,marshmello,happier,87151,,
14,the-killers,mr-brightside,1949726,,
15,arctic-monkeys,do-i-wanna-know,872223,,
16,queen,another-one-bites-the-dust-remastered-2011,174376,,
17,little-mix,woman-like-me-feat-nicki-minaj,55986,,
18,tame-impala,the-less-i-know-the-better,387221,,
19,imagine-dragons,machine,41628,,
20,muse,propaganda,40531,,
21,dua-lipa,kiss-and-make-up,55400,,
22,queen,bohemian-rhapsody,1346380,,
23,lady-gaga,shallow,71622,,
24,post-malone,sunflower-spider-man-into-the-spider-verse,54262,,
25,toto,africa,890960,,
26,rita-ora,let-you-love-me,60052,,
27,muse,pressure,56635,,
28,sheck-wes,mo-bamba,62237,,
29,anderson-paak,tints-feat-kendrick-lamar,56239,,
30,nirvana,smells-like-teen-spirit,2036044,,
31,post-malone,better-now,148309,,
32,the-white-stripes,seven-nation-army,1484755,,
33,muse,algorithm,36402,,
34,muse,the-dark-side,55385,,
35,mariah-carey,all-i-want-for-christmas-is-you,666240,,
36,dua-lipa,new-rules,273055,,
37,radiohead,creep,1611546,,
38,carly-rae-jepsen,party-for-one,35069,,
39,kodak-black,zeze-feat-travis-scott-offset,49157,,
40,kendrick-lamar,humble,332679,,
41,khalid,better,68102,,
42,portugal-the-man,feel-it-still,285262,,
43,panic-at-the-disco,high-hopes,95943,,
44,drake,in-my-feelings,151823,,
45,franz-ferdinand,take-me-out,1650489,,
46,a-ha,take-on-me,1121381,,
47,clean-bandit,baby-feat-marina-and-the-diamonds-luis-fonsi,32671,,
48,bad-bunny,mia-feat-drake,51746,,
49,xxxtentacion,arms-around-you-feat-maluma-swae-lee,38760,,
50,charli-xcx,1999,53514,,
51,linkin-park,in-the-end,1386320,,
52,gorillaz,feel-good-inc,1467476,,
53,queen,somebody-to-love-remastered-2011,116515,,
54,kanye-west,i-love-it-lil-pump,91406,,
55,calvin-harris,promises-with-sam-smith,84029,,
56,dynoro,in-my-mind,90685,,
57,foster-the-people,pumped-up-kicks,1202715,,
58,childish-gambino,redbone,276647,,
59,red-hot-chili-peppers,under-the-bridge,1513370,,
60,anderson-paak,who-r-u,31143,,
61,imagine-dragons,believer,265131,,
62,muse,thought-contagion,81760,,
63,post-malone,rockstar-feat-21-savage,108798,,
64,queen,i-want-to-break-free,693038,,
65,ava-max,sweet-but-psycho,42116,,
66,nirvana,come-as-you-are,1793520,,
67,queen,another-one-bites-the-dust,1039520,,
68,zara-larsson,ruin-my-life,41647,,
69,dua-lipa,idgaf,195943,,
70,5-seconds-of-summer,youngblood,107244,,
71,xxxtentacion,sad,133138,,
72,juice-wrld,lucid-dreams,96049,,
73,pixies,where-is-my-mind,1142952,,
74,arctic-monkeys,r-u-mine,704386,,
75,queen,somebody-to-love,725764,,
76,ariana-grande,into-you,232198,,
77,muse,something-human,55238,,
78,billie-eilish,lovely-with-khalid,88647,,
79,queen,we-will-rock-you-remastered,70385,,
80,ed-sheeran,shape-of-you,377344,,
81,lorde,green-light,254947,,
82,kendrick-lamar,dna,262028,,
83,lady-gaga,always-remember-us-this-way,45414,,
84,r-e-m,losing-my-religion,1175935,,
85,vince-staples,feels-like-summer,28893,,
86,joji,slow-dancing-in-the-dark,53275,,
87,childish-gambino,this-is-america,170288,,
88,the-cranberries,zombie,1237914,,
89,drake,gods-plan,220537,,
90,system-of-a-down,chop-suey,1481400,,
91,queen,killer-queen,843150,,
92,imagine-dragons,thunder,256723,,
93,muse,break-it-to-me,28410,,
94,calvin-harris,one-kiss-with-dua-lipa,150144,,
95,frank-ocean,pink-white,199390,,
96,clean-bandit,solo-feat-demi-lovato,113432,,
97,the-verve,bitter-sweet-symphony,1145027,,
98,vince-staples,fun,27712,,
99,camila-cabello,havana,238396,,
100,camila-cabello,havana,238564,,
101,anderson-paak,6-summers,27520,,
102,benny-blanco,eastside-with-halsey-khalid,86789,,
103,linkin-park,numb,1251727,,
104,anderson-paak,the-chase-feat-kadhja-bonet,26974,,
105,radiohead,karma-police,1608313,,
106,red-hot-chili-peppers,californication,1586447,,
107,twenty-one-pilots,my-blood,69500,,
108,muse,blockades,26638,,
109,frank-ocean,nights,162230,,
110,ariana-grande,sweetener,69330,,
111,cardi-b,i-like-it,136209,,
112,tears-for-fears,everybody-wants-to-rule-the-world,653653,,
113,mgmt,kids,1566560,,
114,michael-jackson,billie-jean,1185140,,
115,queen,killer-queen-remastered-2011,90559,,
116,queen,we-are-the-champions-remastered-2011,122301,,
117,the-strokes,last-nite,975147,,
118,earth-wind-fire,september,635136,,
119,muse,get-up-and-fight,26275,,
120,silk-city,electricity-with-dua-lipa,66459,,
121,ellie-goulding,close-to-me-with-diplo-feat-swae-lee,27014,,
122,a-ap-rocky,praise-the-lord-da-shine,79775,,
123,travi-scott,stargazing,86591,,
124,led-zeppelin,stairway-to-heaven,1280246,,
125,slipknot,all-out-life,25945,,
126,britney-spears,toxic,841889,,
127,led-zeppelin,immigrant-song,965783,,
128,vince-staples,outside,25880,,
129,ac-dc,highway-to-hell,994092,,
130,red-hot-chili-peppers,cant-stop,1070372,,
131,ariana-grande,everytime,68797,,
132,dean-lewis,be-alright,67400,,
133,muse,dig-down,83859,,
134,tyler-the-creator,see-you-again,125825,,
135,the-xx,intro,1079274,,
136,lorde,royals,820325,,
137,twenty-one-pilots,stressed-out,399067,,
138,coldplay,the-scientist,1588005,,
139,kygo,happy-now-feat-sandro-cavazza,31351,,
140,vince-staples,dont-get-chipped,25223,,
141,mumford-sons,guiding-light,44739,,
142,maroon-5,girls-like-you-feat-cardi-b,101388,,
143,hozier,take-me-to-church,639259,,
144,frank-ocean,ivy,181050,,
145,kings-of-leon,sex-on-fire,1464752,,
146,m83,midnight-city,956616,,
147,billie-eilish,ocean-eyes,103058,,
148,anderson-paak,headlow-feat-norelle,24830,,
149,dire-straits,sultans-of-swing,1020000,,
150,kendrick-lamar,all-the-stars-with-sza,177655,,
151,robyn,missing-u,54263,,
152,kids-see-ghosts,reborn,83580,,
153,arctic-monkeys,fluorescent-adolescent,967476,,
154,the-weeknd,starboy,304784,,
155,billie-eilish,idontwannabeyouanymore,71516,,
156,soundgarden,black-hole-sun,1021398,,
157,taylor-swift,delicate,116009,,
158,imagine-dragons,boomerang,24468,,
159,the-killers,somebody-told-me,1635621,,
160,arctic-monkeys,whyd-you-only-call-me-when-youre-high,571178,,
161,xxxtentacion,moonlight,93624,,
162,ariana-grande,side-to-side,209755,,
163,vince-staples,relay,24032,,
164,earl-sweatshirt,nowhere2go,24414,,
165,steve-aoki,waste-it-on-me-feat-bts,28739,,
166,lil-peep,falling-down-bonus-track,24391,,
167,the-neighbourhood,sweater-weather,526194,,
168,billie-eilish,bellyache,86999,,
169,joji,yeah-right,55481,,
170,michael-jackson,thriller,1037173,,
171,rage-against-the-machine,killing-in-the-name,1206629,,
172,foo-fighters,everlong,1306723,,
173,vance-joy,riptide,574294,,
174,anderson-paak,saviers-road,23717,,
175,cardi-b,money,34140,,
176,billie-eilish,you-should-see-me-in-a-crown,59458,,
177,taylor-swift,look-what-you-made-me-do,191859,,
178,muse,the-void,23349,,
179,robyn,ever-again,32034,,
180,george-ezra,shotgun,80511,,
181,ariana-grande,r-e-m,63397,,
182,queens-of-the-stone-age,no-one-knows,1070566,,
183,frank-ocean,thinkin-bout-you,562290,,
184,vince-staples,run-the-bands,23102,,
185,imagine-dragons,radioactive,1000641,,
186,lady-gaga,shallow-radio-edit,38645,,
187,little-mix,joan-of-arc,22817,,
188,the-cure,friday-im-in-love,1022276,,
189,lil-peep,runaway,22884,,
190,benny-blanco,i-found-you-with-calvin-harris,23039,,
191,massive-attack,teardrop,1290627,,
192,two-door-cinema-club,what-you-know,858760,,
193,green-day,basket-case,1132632,,
194,troye-sivan,dance-to-this-feat-ariana-grande,67363,,
195,drake,nice-for-what,154082,,
196,panic-at-the-disco,i-write-sins-not-tragedies,901845,,
197,ariana-grande,one-last-time,285616,,
198,queen,crazy-little-thing-called-love,733547,,
199,the-animals,the-house-of-the-rising-sun,927082,,
200,coldplay,viva-la-vida,1618571,,
201,tame-impala,let-it-happen,326394,,
202,blue-oyster-cult,dont-fear-the-reaper,676827,,
203,blink-182,all-the-small-things,1182484,,
204,lorde,liability,179519,,
205,drake,nonstop,99733,,
206,coldplay,yellow,1554689,,
207,mgmt,electric-feel,1386289,,
208,k-da,pop-stars,22320,,
209,mumford-sons,beloved,22383,,
