,Artiste,Titre,Listeners,Annee
0,kendrick-lamar,humble,332679,2017
1,kendrick-lamar,humble,332679,2017
2,portugal-the-man,feel-it-still,285262,2017
3,portugal-the-man,feel-it-still,285464,2017
4,foster-the-people,pumped-up-kicks,1202715,2011
5,foster-the-people,pumped-up-kicks,1202894,2011
6,childish-gambino,redbone,276647,2017
7,childish-gambino,redbone,276841,2017
8,imagine-dragons,believer,265131,2017
9,imagine-dragons,believer,265336,2017
10,ariana-grande,into-you,232198,2016
11,ariana-grande,into-you,232403,2016
12,ed-sheeran,shape-of-you,377344,2017
13,ed-sheeran,shape-of-you,377496,2017
14,kendrick-lamar,dna,262028,2017
15,kendrick-lamar,dna,262212,2017
16,imagine-dragons,thunder,256723,2017
17,imagine-dragons,thunder,256893,2017
18,lorde,royals,820325,2014
19,lorde,royals,820325,2013
20,lorde,royals,820325,2014
21,lorde,royals,820325,2013
22,twenty-one-pilots,stressed-out,399067,2016
23,twenty-one-pilots,stressed-out,399067,2016
24,hozier,take-me-to-church,639259,2015
25,hozier,take-me-to-church,639259,2015
26,the-neighbourhood,sweater-weather,526194,2014
27,the-neighbourhood,sweater-weather,526194,2014
28,vance-joy,riptide,574294,2015
29,vance-joy,riptide,574294,2015
30,taylor-swift,look-what-you-made-me-do,191859,2017
31,taylor-swift,look-what-you-made-me-do,191859,2017
32,imagine-dragons,radioactive,1000641,2014
33,imagine-dragons,radioactive,1000641,2013
34,imagine-dragons,radioactive,1000641,2014
35,imagine-dragons,radioactive,1000641,2013
36,ariana-grande,one-last-time,285616,2015
37,ariana-grande,one-last-time,285616,2015
38,ariana-grande,dangerous-woman,197581,2016
39,ariana-grande,dangerous-woman,197581,2016
40,taylor-swift,blank-space,252511,2015
41,taylor-swift,blank-space,252511,2015
42,lil-uzi-vert,xo-tour-llif3,180704,2017
43,lil-uzi-vert,xo-tour-llif3,180704,2017
44,lady-gaga,bad-romance,1118910,2010
45,lady-gaga,bad-romance,1118910,2010
46,sia,chandelier,593433,2015
47,sia,chandelier,593433,2014
48,sia,chandelier,593433,2015
49,sia,chandelier,593433,2014
50,taylor-swift,shake-it-off,353665,2015
