,Unnamed: 0,ID,Title,Artiste,Genre,Sortie,Duree,Note_Moyenne_itunes,#_votes_itunes,#_Shazam_fr,Paroles,MotsFrequents
0,0,402107013,Later Bitches,The Prince Karma,Dance,15 juin 2018,4,3.9,11,3016822,"   What the hell do you mean I've got to wait in line? This is comlpete and total bullshit! If if I show you my tits Would you let me in? Can you just Just take another drink with me? Thanks! Later Bitches!  Oh my god! This is like This is like the best song ever! I just I just love it so much! Shit! I don't feel so good... I shouldn't have that last shot! Later Bitches!  Oh my god! I'm so horny right now... I shouldn't have said that outloud I'm not like wearing any underwear... So, you know... Can I have another shot? Hey, before we get out of here Can you... Can you just do me one favor? Can you say... Later Bitches! ",you
1,1,427101360,Shallow,Lady Gaga & Bradley Cooper,Bande originale,5 oct. 2018,1,4.7,205,2166898,"  [Bradley Cooper:] Tell me somethin' girl Are you happy in this modern world? Or do you need more? Is there somethin' else you're searchin' for?  I'm falling In all the good times I find myself longin' for change And in the bad times I fear myself  [Lady Gaga:] Tell me something boy Aren't you tired tryin' to fill that void? Or do you need more? Ain't it hard keeping it so hardcore?  I'm falling In all the good times I find myself longing for change And in the bad times I fear myself  I'm off the deep end, watch as I dive in I'll never meet the ground Crash through the surface, where they can't hurt us We're far from the shallow now  [Lady Gaga & Bradley Cooper:] In the shallow, shallow In the shallow, shallow In the shallow, shallow We're far from the shallow now  [Lady Gaga:] Wooaaaah Woaaaaaaaaaaah  I'm off the deep end, watch as I dive in I'll never meet the ground Crash through the surface, where they can't hurt us We're far from the shallow now  [Lady Gaga & Bradley Cooper:] In the shallow, shallow In the shallow, shallow In the shallow, shallow We're far from the shallow now ",the
2,2,444295408,Gam Gam,Marnik & SMACK,Dance,26 oct. 2018,3,-,-,125014,   Gam gam Gam ki eleh Be be Gey tzalmavet Lo lo lo Eira Ra Ki ata Imadi  Gam gam gam  Gam gam Gam ki eleh Be be Gey tzalmavet Lo lo lo Eira Ra Ki ata Imadi  Gam gam Gam ki eleh Be be Gey tzalmavet Lo lo lo Eira Ra Ki ata Imadi  Gam gam Gam ki eleh Be be Gey tzalmavet Lo lo lo Eira Ra Ki ata Imadi  Gam gam gam  Gam gam Gam ki eleh Be be Gey tzalmavet Lo lo lo Eira Ra Ki ata Imadi  Gam gam Gam ki eleh Be be Gey tzalmavet Lo lo lo Eira Ra Ki ata Imadi ,Gam
3,3,448518908,Somewhere Only We Know,Reneé Dominique,-,-,-,-,-,159784,vide,vide
4,4,462933,Come And Get Your Love,Redbone,Rock,1 nov. 1973,3,-,-,2755753,"   Hail (hail) What's the matter with your hair? Yeah Hail (hail) What's the matter with your mind and your sign? And a, oh, oh, oh-a Hail (hail) Nothing the matter with your head baby, find it, come on and find it Hail With it, baby, 'cause you're fine, and you're mine, and you look so divine  Come and get your love Come and get your love Come and get your love Come and get your love  Hail (hail) What's the matter with you? Feel right Don't you feel right baby? Hail, oh yeah Get it from the main vine, all right I said a-find it, find it Go on and love it if you like it, yeah Hail (hail) It's your business, if you want some, take some Get it together, baby  Come and get your love Come and get your love Come and get your love Come and get your love  Come and get your love, come and get your love, come and get your love now Come and get your love, come and get your love, come and get your love now Come and get your love, come and get your love, come and get your love now Come and get your love, come and get your love, come and get your love now  Come and get your love Come and get your love Come and get your love Come and get your love  Hail (hail) What's the matter with you? Feel right Don't you feel right baby? Hail, oh yeah Get it from the main vine, all right  La, la, la, la, la, la (Come and get your love) La, la, la, la, la, la (Come and get your love) La, la, la, la, la, la (Come and get your love) La, la, la, la, la, la (Come and get your love) La, la, la, la, la, la, la, la, la (Come and get your love) La, la, la, la, la, la, la, la, la (Come and get your love) La, la, la, la, la, la, (Come and get your love) La, la, la, la, la, la, la, la, la (Come and get your love) ","la,"
5,5,434628736,Thunderclouds,LSD Feat. Sia & Diplo & Labrinth,Pop,9 août 2018,3,4.5,23,3320925,vide,vide
6,6,437624347,Tout Oublier,Angele & Roméo Elvis,Variété française,5 oct. 2018,4,3.9,133,233521,vide,vide
7,7,408576846,Shotgun,George Ezra,Auteur-interprète,23 mars 2018,3,4.8,12,3252188,"   Home grown alligator, see you later Gotta hit the road, gotta hit the road Something changed in the atmosphere Architecture unfamiliar I could get used to this  Time flies by in the yellow and green Stick around and you'll see what I mean There's a mountain top that I'm dreaming of If you need me you know where I'll be  I'll be riding shotgun underneath the hot sun Feeling like a some one I'll be riding shotgun underneath the hot sun Feeling like a some one  The South of the Equator, navigator Gotta hit the road, gotta hit the road Deep sea diving round the clock, bikini bottoms, lager tops I could get used to this  Time flies by in the yellow and green Stick around and you'll see what I mean There's a mountain top that I'm dreaming of If you need me you know where I'll be  I'll be riding shotgun underneath the hot sun Feeling like a some one I'll be riding shotgun underneath the hot sun Feeling like a some one  We got two in the front Two in the back Sailing along And we don't look back  Time flies by in the yellow and green Stick around and you'll see what I mean There's a mountain top that I'm dreaming of If you need me you know where I'll be  I'll be riding shotgun underneath the hot sun Feeling like a some one I'll be riding shotgun underneath the hot sun Feeling like a some one I'll be riding shotgun underneath the hot sun Feeling like a some one I'll be riding shotgun underneath the hot sun Feeling like a some one I'll be riding shotgun underneath the hot sun Feeling like a some one I'll be riding shotgun underneath the hot sun Feeling like a some one ",the
8,8,440557235,Taki Taki,DJ Snake Feat. Selena Gomez & Ozuna & Cardi B,Dance,28 sept. 2018,3,3.9,32,2796841,vide,vide
9,9,416737862,MIA,Bad Bunny Feat. Drake,Latino,11 oct. 2018,3,-,-,1257227,vide,vide
