,ID,Title,Artiste,Genre,Sortie,Duree,Note_Moyenne_itunes,#_votes_itunes,#_Shazam_fr
0,402107013,Later Bitches,The Prince Karma,Dance,15 juin 2018,4,3.9,11,3016822
1,427101360,Shallow,Lady Gaga & Bradley Cooper,Bande originale,5 oct. 2018,1,4.7,205,2166898
2,444295408,Gam Gam,Marnik & SMACK,Dance,26 oct. 2018,3,-,-,125014
3,448518908,Somewhere Only We Know,Reneé Dominique,-,-,-,-,-,159784
4,462933,Come And Get Your Love,Redbone,Rock,1 nov. 1973,3,-,-,2755753
5,434628736,Thunderclouds,LSD Feat. Sia & Diplo & Labrinth,Pop,9 août 2018,3,4.5,23,3320925
6,437624347,Tout Oublier,Angele & Roméo Elvis,Variété française,5 oct. 2018,4,3.9,133,233521
7,408576846,Shotgun,George Ezra,Auteur-interprète,23 mars 2018,3,4.8,12,3252188
8,440557235,Taki Taki,DJ Snake Feat. Selena Gomez & Ozuna & Cardi B,Dance,28 sept. 2018,3,3.9,32,2796841
9,416737862,MIA,Bad Bunny Feat. Drake,Latino,11 oct. 2018,3,-,-,1257227
10,435950080,Promises,Calvin Harris & Sam Smith,Dance,17 août 2018,3,3.8,23,4470743
11,430776855,Natural,Imagine Dragons,Alternative,9 nov. 2018,5,4.7,43,3749416
12,428550515,Be Alright,Dean Lewis,Auteur-interprète,29 juin 2018,3,-,-,3283159
13,315340265,À Nos Souvenirs,Trois Cafés Gourmands,Variété française,5 oct. 2018,4,3.5,34,814699
14,438654695,Say My Name,David Guetta & Bebe Rexha & J Balvin,-,-,-,-,-,721997
15,434582314,Longtemps,Amir,Variété française,27 oct. 2017,1,3.1,22,346217
16,436997087,Paradise,Ofenbach Feat. Benjamin Ingrosso,Électronique,24 août 2018,2,-,-,603075
17,441465736,Jaloux,Dadju,R&B/Soul,5 oct. 2018,1,4.2,34,364032
18,437075267,Je Te Le Donne,Vitaa & Slimane,Pop,28 sept. 2018,1,4.2,31,414839
19,444645088,Madrina,Maes Feat. Booba,Hip-hop/Rap,26 oct. 2018,3,4.0,20,103455
20,383727904,In My Mind,Dynoro & Gigi D’Agostino,Dance,15 nov. 2017,3,4.0,12,8291980
21,439560547,Falling Down,Lil Peep & XXXTENTACION,Hip-hop/Rap,19 sept. 2018,3,4.6,11,673636
22,443928333,Le Code,SCH,Hip-hop/Rap,19 oct. 2018,1,4.4,119,115691
23,405134063,Moonlight,XXXTENTACION,Pop,16 mars 2018,3,4.8,88,955713
24,443321905,ZEZE,Kodak Black Feat. Offset & Travis Scott,Hip-hop/Rap,12 oct. 2018,3,-,-,1024094
25,431669682,Fine Day,Keanu Silva,Dance,27 juil. 2018,3,-,-,234659
26,447492889,Rêves Bizarres,Orelsan Feat. Damso,-,-,-,-,-,40913
27,438520189,Dalida,Soolking,Hip-hop/Rap,12 sept. 2018,3,4.5,10,352029
