ID,#_Shazam_fr,#_votes_itunes,Artiste,Duree,Genre,Note_Moyenne_itunes,Sortie,Title
222592,2662597,-,Sinéad O'Connor,1,Pop,-,8 janv. 1990,Nothing Compares 2 U
10072077,2157136,-,Fat Joe Feat. Ashanti,1,Hip-hop/Rap,-,3 déc. 2001,What's Luv?
442303160,17057,6,LP,4,Alternative,4.5,-,Recovery
83147960,16836908,87,OneRepublic,4,Pop,4.6,22 mars 2013,Counting Stars
52852094,1099069,19,Rock Mafia,2,Pop,4.9,29 oct. 2010,The Big Bang
142033293,1510173,-,Phil Collins,4,Rock,-,1 févr. 1981,In The Air Tonight
5239328,951400,6,ABBA,5,Pop,5.0,23 avr. 1979,Gimme! Gimme! Gimme! (A Man After Midnight)
429624819,57649,-,Sadek,2,Hip-hop/Rap,-,29 juin 2018,Bep Bep
382041456,455106,-,Abou Debeing,3,Hip-hop/Rap,-,5 nov. 2017,C'est Pas Bon
441085916,7570,-,Roman Kouder Feat. Josh Tobias,-,-,-,-,Rush (Extended Version)
10039275,930710,-,Ryan Paris,4,Musiques du monde,-,11 avr. 2000,Dolce Vita
20124846,4644365,-,OutKast,2,Hip-hop/Rap,-,23 sept. 2003,Hey Ya!
410539721,12198,-,Nesly,5,Musiques du monde,-,27 avr. 2018,Venus
2937204,2479269,-,Robert Miles,1,Dance,-,6 juil. 1996,Children
228976412,2204084,5,Lord Huron,5,Alternative,4.8,7 avr. 2015,The Night We Met
310435082,12705464,16,The Chainsmokers Feat. Daya,1,Dance,3.9,4 nov. 2016,Don't Let Me Down
337807025,12839356,129,Luis Fonsi Feat. Daddy Yankee,3,Pop en espagnol,3.4,13 janv. 2017,Despacito
5171112,1505364,45,Michael Jackson,2,Pop,4.8,18 juin 1995,They Don't Care About Us
215828,3958149,-,Shaggy Feat. Ricardo Ducent,5,Pop,-,8 août 2000,It Wasn't Me
381328898,1447806,-,Balti Feat. Hamouda,3,Hip-hop/Rap,-,7 nov. 2017,Ya Lili
48796740,9131124,-,Edward Maya & Vika Jigulina,5,Pop,-,15 juil. 2013,Stereo Love
10101855,2350658,-,Guns N' Roses,1,Rock,-,17 sept. 1991,Knockin' On Heaven's Door
440807214,74282,205,Lady Gaga,1,Bande originale,4.7,5 oct. 2018,Is That Alright?
445128595,2855,19,Camélia Jordana,4,Variété française,3.3,9 nov. 2018,Dhaouw
234042,2525169,15,OutKast,1,Hip-hop/Rap,4.1,23 oct. 2000,Ms. Jackson
124931322,943216,24,Synapson Feat. Victor Démé,1,Électronique,4.3,16 oct. 2015,DJon Maya Maï
50513993,339805,43,Klaas,1,Dance,4.8,19 avr. 2010,Our Own Way (Original Mix Edit)
433511728,41522,-,MC L Da Vinte Feat. MC Gury,2,Baile funk,-,23 juil. 2018,Parado No Bailão (Remix)
102161433,4162932,1,Indila,4,Variété française,4.3,1 janv. 2014,Dernière Danse
10525823,40870,-,The Magnetic Fields,2,Rock,-,7 sept. 1999,All My Little Words
241542,2826106,-,Irene Cara,4,Pop,-,1 janv. 2008,Flashdance (What A Feeling)
10002705,5439210,-,Puff Daddy Feat. Faith Evans & 112,5,Hip-hop/Rap,-,31 déc. 1996,I'll Be Missing You
382240629,135629,-,Vladimir Cauchemar,3,Électronique,-,4 déc. 2017,Aulos (Club Mix)
406085553,3157573,7,Sean Paul & David Guetta Feat. Becky G,3,Reggae,4.6,16 févr. 2018,Mad Love
40304424,335921,-,The Servant,3,Pop/Rock,-,31 déc. 2002,Orchestra
238609,2978111,-,Counting Crows,1,Alternative,-,14 sept. 1993,Mr. Jones
432186676,520986,-,Tyga,3,Hip-hop/Rap,-,25 juil. 2018,Swish
293477225,8117622,1,Adele,4,Pop,4.3,20 nov. 2015,Hello
432851826,86617,7,"Sofiane, Mac Tyer, Sadek, Vald, Kalash Criminel, Soolking & Heuss L’enfoiré",4,Hip-hop/Rap,3.4,27 juil. 2018,Woah
341462276,5854914,11,Katy Perry Feat. Skip Marley,1,Pop,4.9,9 juin 2017,Chained To The Rhythm
5172385,1916716,-,Shania Twain,5,Country,-,4 nov. 1997,Man! I Feel Like A Woman!
